Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
302;01/06/1997;7;30;51;52;69;0;
303;05/06/1997;28;48;50;64;71;1;1309114,71
304;08/06/1997;3;22;42;71;79;2;199243,19
305;12/06/1997;6;16;31;36;53;4;76932,52
306;15/06/1997;9;28;34;40;42;3;129021,52
307;19/06/1997;10;27;29;61;66;0;
308;22/06/1997;13;14;16;21;69;8;88571,28
309;26/06/1997;16;26;37;40;62;2;141774,71
310;29/06/1997;1;14;49;71;74;2;193609,41
311;03/07/1997;29;46;53;63;68;2;148691,29
312;06/07/1997;6;29;36;44;68;4;97871,27
313;10/07/1997;28;30;54;67;74;2;155820,45
314;13/07/1997;7;10;18;57;74;3;130012,89
315;17/07/1997;12;19;33;44;67;5;62924,57
316;20/07/1997;27;28;50;65;76;0;
317;24/07/1997;2;8;36;45;64;7;113049,79
318;27/07/1997;22;26;34;39;40;2;198806,79
319;31/07/1997;1;21;33;39;48;3;102816,13
320;03/08/1997;3;4;7;14;39;8;49425,53
321;07/08/1997;18;21;23;54;74;1;342317,03
322;10/08/1997;10;25;33;43;68;2;207909,39
323;14/08/1997;32;34;52;68;73;2;174785,34
324;17/08/1997;42;56;61;76;79;1;406152,12
325;21/08/1997;2;7;9;27;59;3;113694,17
326;24/08/1997;5;6;12;50;61;3;136138,12
327;28/08/1997;3;10;35;47;59;3;110851,05
328;31/08/1997;17;23;52;70;71;5;79149,91
329;04/09/1997;7;12;36;39;50;4;84492,10
330;07/09/1997;6;7;9;36;45;4;101948,80
331;11/09/1997;53;57;62;70;78;2;172493,53
332;14/09/1997;24;25;34;50;65;1;411088,36
333;19/09/1997;1;3;18;46;64;2;171189,81
334;21/09/1997;15;20;23;78;79;0;
335;25/09/1997;9;16;20;34;53;2;406746,50
336;28/09/1997;42;54;55;70;74;1;390679,65
337;02/10/1997;1;20;40;42;75;1;339945,04
338;05/10/1997;3;7;10;23;43;15;26552,07
339;09/10/1997;2;3;45;49;60;2;176952,86
340;12/10/1997;4;6;35;64;65;3;131594,31
341;16/10/1997;27;32;54;57;80;4;81831,74
342;19/10/1997;1;9;51;59;74;2;193474,84
343;23/10/1997;13;16;18;21;36;10;33902,17
344;26/10/1997;4;27;44;61;71;0;
345;30/10/1997;21;22;40;51;74;1;764729,80
346;02/11/1997;14;35;53;64;77;7;53643,43
347;06/11/1997;16;25;27;33;74;1;344400,61
348;09/11/1997;14;22;24;59;72;1;393942,36
349;13/11/1997;15;23;25;29;71;4;85298,53
350;16/11/1997;6;18;42;56;72;7;51901,92
351;20/11/1997;12;36;38;50;53;0;
352;23/11/1997;2;28;51;53;77;3;256078,74
353;27/11/1997;1;21;46;56;79;0;
354;30/11/1997;3;16;32;37;50;3;254074,17
355;04/12/1997;8;22;48;59;76;0;
356;07/12/1997;18;35;37;50;54;3;266401,95
357;11/12/1997;3;33;44;77;78;1;353878,19
358;14/12/1997;11;29;42;63;72;5;79459,21
359;18/12/1997;12;33;51;60;80;4;87292,09
360;21/12/1997;11;46;49;60;71;1;397458,16
361;28/12/1997;20;40;59;68;80;1;426158,56
362;04/01/1998;17;50;69;73;76;1;421167,47
363;08/01/1998;17;31;51;60;74;1;321101,08
364;11/01/1998;3;25;30;32;62;3;124604,98
365;15/01/1998;10;31;37;61;74;4;82703,17
366;18/01/1998;7;10;32;54;59;1;364886,30
367;22/01/1998;41;58;61;66;80;0;
368;25/01/1998;6;11;43;46;58;5;148443,08
369;29/01/1998;6;28;32;51;80;3;107318,38
370;01/02/1998;12;14;26;27;75;5;73521,60
371;05/02/1998;9;30;38;56;76;2;163874,95
372;08/02/1998;1;12;49;55;76;0;
373;12/02/1998;16;26;36;41;78;0;
374;15/02/1998;27;44;45;56;71;2;635598,17
375;19/02/1998;2;12;14;16;29;6;57991,71
376;22/02/1998;1;17;47;68;71;2;181122,19
377;01/03/1998;4;19;48;76;80;4;108233,17
378;05/03/1998;5;16;34;40;73;0;
379;08/03/1998;11;29;36;38;67;1;768559,13
380;12/03/1997;1;7;28;48;73;1;345731,72
381;15/03/1998;7;15;45;53;66;5;78248,47
382;19/03/1998;4;17;19;51;62;2;167682,47
383;22/03/1998;1;2;4;6;28;19;19774,28
384;26/03/1998;36;50;55;58;75;2;163072,01
385;29/03/1998;18;29;35;63;68;2;183017,61
386;31/03/1998;15;17;18;25;44;2;88473,33
387;02/04/1998;26;32;45;62;77;5;50336,75
388;04/04/1998;17;36;67;69;77;1;315169,23
389;07/04/1998;25;38;57;69;78;2;114789,39
390;11/04/1998;19;30;35;48;76;1;315374,00
391;14/04/1998;20;43;47;62;74;3;73691,52
392;16/04/1998;11;17;26;48;56;3;80028,29
393;18/04/1998;17;37;53;71;76;2;149030,65
394;23/04/1998;1;6;38;65;70;1;283511,22
395;25/04/1998;31;34;36;58;62;2;148364,21
396;28/04/1998;21;23;37;69;73;3;69632,67
397;30/04/1998;27;38;48;58;75;0;
398;02/05/1998;11;12;17;57;74;1;454446,42
399;05/05/1998;9;27;38;48;57;1;223484,53
400;07/05/1998;56;59;65;70;71;1;245460,92
401;09/05/1998;1;7;9;39;80;10;30945,01
402;12/05/1998;38;57;66;72;77;1;226763,58
403;14/05/1998;1;14;42;44;56;2;121428,17
404;16/05/1998;4;8;52;59;67;2;152328,39
405;19/05/1998;5;19;43;77;80;3;74300,45
406;21/05/1998;3;35;40;61;77;0;
407;23/05/1998;16;29;44;57;70;3;189640,57
408;26/05/1998;4;5;14;28;40;2;111209,49
409;28/05/1998;3;26;63;74;76;1;231373,15
410;30/05/1998;7;8;17;47;55;1;297671,98
411;02/06/1998;9;12;52;65;78;2;112874,91
412;04/06/1998;1;20;44;66;77;3;78558,62
413;06/06/1998;24;40;52;57;62;0;
414;09/06/1998;2;12;20;47;55;0;
415;13/06/1998;15;26;51;58;65;5;204313,53
416;16/06/1998;47;52;53;71;78;0;
417;18/06/1998;11;25;40;48;73;1;466066,75
418;20/06/1998;34;39;47;75;76;1;305228,24
419;23/06/1998;21;23;37;50;55;1;195286,73
420;25/06/1998;38;44;46;72;80;1;214304,11
421;27/06/1998;24;41;52;56;76;2;143790,86
422;30/06/1998;37;44;54;62;64;0;
423;02/07/1998;17;39;48;56;75;2;240467,91
424;04/07/1998;5;6;22;28;31;5;54788,33
425;07/07/1998;1;21;28;44;48;2;104849,28
426;09/07/1998;5;13;26;54;67;2;101526,58
427;11/07/1998;15;24;30;57;67;1;311422,12
428;14/07/1998;5;20;27;70;80;5;43736,57
429;16/07/1998;2;39;41;51;73;0;
430;18/07/1998;19;52;57;74;79;5;117460,35
431;21/07/1998;6;35;50;57;58;0;
432;23/07/1998;27;33;37;53;60;2;264252,71
433;25/07/1998;20;22;38;45;53;6;53947,47
434;28/07/1998;23;30;36;39;40;2;119204,08
435;30/07/1998;20;30;34;35;65;1;247861,86
436;01/08/1998;31;38;43;44;79;1;328659,52
437;04/08/1998;15;30;31;49;52;3;81731,15
438;06/08/1998;12;27;46;48;79;1;259801,44
439;08/08/1998;10;21;52;58;64;0;
440;11/08/1998;35;64;66;70;79;3;223531,72
441;13/08/1998;13;33;60;75;76;2;134057,12
442;15/08/1998;2;52;53;70;77;0;
443;18/08/1998;3;50;66;67;70;2;329021,31
444;20/08/1998;13;32;53;60;69;0;
445;22/08/1998;8;38;39;46;76;0;
446;25/08/1998;23;42;50;61;80;0;
447;27/08/1998;12;14;16;43;44;7;198560,32
448;29/08/1998;12;25;27;34;76;2;170163,31
449;01/09/1998;13;19;34;54;73;1;255899,75
450;03/09/1998;13;35;48;49;53;6;44259,35
451;05/09/1998;21;32;48;54;61;4;87285,33
452;10/09/1998;12;51;54;60;61;0;
453;12/09/1998;18;44;66;74;75;1;739842,13
454;15/09/1998;19;30;40;60;75;3;82849,65
455;17/09/1998;7;16;49;52;73;4;64872,54
456;19/09/1998;18;47;70;74;80;1;347884,81
457;22/09/1998;1;13;31;49;56;1;239686,21
458;24/09/1998;21;29;40;62;73;1;256230,58
459;26/09/1998;8;19;30;33;49;6;57313,20
460;29/09/1998;15;52;61;67;68;4;60946,92
461;01/10/1998;9;48;51;65;80;0;
462;03/10/1998;12;30;44;50;79;1;653519,51
463;06/10/1998;5;33;43;53;67;3;84708,36
464;08/10/1998;9;18;29;69;80;2;136898,43
465;10/10/1998;10;37;41;47;78;4;87499,49
466;15/10/1998;4;8;18;19;31;10;33922,50
467;17/10/1998;19;31;35;60;79;1;345784,74
468;20/10/1998;6;9;49;57;77;3;82464,83
469;22/10/1998;7;10;59;65;79;0;
470;24/10/1998;18;28;30;45;70;2;315084,28
471;27/10/1998;18;21;32;38;54;2;120227,41
472;29/10/1998;24;57;67;69;77;2;124853,17
473;31/10/1998;30;49;56;57;74;2;166291,76
474;05/11/1998;12;22;27;28;77;4;80901,74
475;07/11/1998;3;11;32;37;53;5;70589,44
476;10/11/1998;12;16;49;56;67;0;
477;12/11/1998;4;18;27;38;47;4;144715,11
478;14/11/1998;8;14;28;63;64;1;368704,96
479;17/11/1998;10;15;17;63;67;2;126446,14
480;19/11/1998;31;33;48;68;80;1;262240,89
481;21/11/1998;22;25;45;56;72;0;
482;24/11/1998;3;5;26;38;62;6;116059,05
483;26/11/1998;19;20;25;52;55;5;53981,69
484;28/11/1998;27;37;56;66;68;1;371910,98
485;01/12/1998;3;11;52;56;59;0;
486;03/12/1998;14;25;32;53;67;5;122427,68
487;05/12/1998;16;40;55;64;70;2;195801,34
488;08/12/1998;3;24;53;56;63;3;82587,03
489;10/12/1998;1;36;38;41;74;2;150376,77
490;12/12/1998;7;17;29;42;43;5;77490,38
491;15/12/1998;3;10;14;21;64;5;55683,37
492;17/12/1998;2;28;43;44;64;0;
493;19/12/1998;7;10;11;39;47;9;80546,18
494;22/12/1998;27;38;44;65;70;3;97435,03
495;24/12/1998;6;23;25;33;38;3;99084,08
496;29/12/1998;9;11;28;39;47;13;25199,68
497;31/12/1998;6;13;29;48;76;3;104793,66
498;05/01/1999;3;14;20;39;68;2;144738,13
499;07/01/1999;5;9;50;51;73;1;278727,95
500;09/01/1999;9;18;38;71;73;2;171922,58
501;12/01/1999;24;32;51;61;63;2;133420,83
502;14/01/1999;11;35;45;50;64;0;
503;16/01/1999;2;18;23;54;73;3;220976,61
504;19/01/1999;3;7;26;66;79;0;
505;21/01/1999;9;30;52;59;75;4;138358,54
506;23/01/1999;16;29;62;64;73;2;169024,66
507;26/01/1999;1;26;64;68;73;1;228560,01
508;28/01/1999;7;22;28;41;53;5;51316,09
509;30/01/1999;5;14;15;25;73;3;111163,39
510;02/02/1999;4;5;18;58;72;2;126777,31
511;04/02/1999;7;15;19;34;52;5;54146,08
512;06/02/1999;6;40;56;66;71;1;355926,91
513;09/02/1999;15;27;31;56;63;6;43878,65
514;11/02/1999;1;9;27;69;78;2;138539,79
515;13/02/1999;6;21;33;34;75;0;
516;18/02/1999;5;47;54;63;72;6;107135,42
